Time,A1.08 | 20,A1.06 | 22,A1.04 | 41,B0.201 | 48,A1.10 | 56,C1.112 | 60,C0.110 | 117
Monday 09:00-11:00,Programmeren in Java 2 | lab | 19 | 15 | 1 | A1.08 | 20,Netwerken en systeembeveiliging | lab | 16 | 16 | 1 | A1.06 | 22,Informatie- en organisatieontwerp | lab | 11 | 11 | 1 | A1.04 | 41,Webprogrammeren en databases | lab | 20 | 20 | 1 | B0.201 | 48,0,Heuristieken 2 | tutorial | 16 | 16 | 1 | C1.112 | 60,Project Genetic Algorithms | lab | 12 | 12 | 1 | C0.110 | 117
11:00-13:00,Bioinformatica | tutorial | 15 | 15 | 2 | A1.08 | 20,Bioinformatica | lab | 15 | 15 | 2 | A1.06 | 22,Bioinformatica | tutorial | 15 | 15 | 2 | A1.04 | 41,Project Numerical Recipes | lab | 15 | 14 | 2 | B0.201 | 48,Analysemethoden en -technieken | lecture | 49 | 49 | 2 | A1.10 | 56,0,Bioinformatica | tutorial | 15 | 15 | 2 | C0.110 | 117
13:00-15:00,Reflectie op de digitale cultuur | tutorial | 17 | 17 | 3 | A1.08 | 20,Autonomous Agents 2 | tutorial | 8 | 6 | 3 | A1.06 | 22,Programmeren in Java 2 | lab | 19 | 19 | 3 | A1.04 | 41,Project Numerical Recipes | lab | 15 | 15 | 3 | B0.201 | 48,Programmeren in Java 2 | lab | 19 | 19 | 3 | A1.10 | 56,Moderne Databases | tutorial | 18 | 18 | 3 | C1.112 | 60,Advanced Heuristics | lecture | 20 | 20 | 3 | C0.110 | 117
15:00-17:00,Programmeren in Java 2 | lab | 19 | 19 | 4 | A1.08 | 20,Autonomous Agents 2 | lab | 8 | 6 | 4 | A1.06 | 22,Data Mining | lecture | 27 | 27 | 4 | A1.04 | 41,Lineaire Algebra | lecture | 54 | 54 | 4 | B0.201 | 48,Bioinformatica | lecture | 45 | 45 | 4 | A1.10 | 56,0,Compilerbouw | lab | 35 | 34 | 4 | C0.110 | 117
17:00-19:00,-,-,-,-,-,-,Informatie- en organisatieontwerp | tutorial | 11 | 10 | 5 | C0.110 | 117
Tuesday 09:00-11:00,Autonomous Agents 2 | tutorial | 8 | 8 | 6 | A1.08 | 20,0,Algoritmen en complexiteit | tutorial | 22 | 22 | 6 | A1.04 | 41,Collectieve Intelligentie | lab | 16 | 16 | 6 | B0.201 | 48,0,Moderne Databases | tutorial | 18 | 18 | 6 | C1.112 | 60,Webprogrammeren en databases | tutorial | 20 | 20 | 6 | C0.110 | 117
11:00-13:00,Calculus 2 | tutorial | 36 | 36 | 7 | A1.08 | 20,Moderne Databases | lab | 18 | 18 | 7 | A1.06 | 22,Software engineering | lecture | 75 | 75 | 7 | A1.04 | 41,Netwerken en systeembeveiliging | lab | 16 | 16 | 7 | B0.201 | 48,Moderne Databases | lab | 18 | 18 | 7 | A1.10 | 56,Bioinformatica | lecture | 45 | 45 | 7 | C1.112 | 60,Webprogrammeren en databases | lecture | 39 | 39 | 7 | C0.110 | 117
13:00-15:00,Advanced Heuristics | lab | 10 | 10 | 8 | A1.08 | 20,Compilerbouw practicum | lab | 14 | 14 | 8 | A1.06 | 22,Informatie- en organisatieontwerp | lecture | 21 | 21 | 8 | A1.04 | 41,Lineaire Algebra | lecture | 54 | 54 | 8 | B0.201 | 48,Technology for games | lecture | 38 | 38 | 8 | A1.10 | 56,Heuristieken 1 | tutorial | 22 | 22 | 8 | C1.112 | 60,Moderne Databases | lab | 18 | 18 | 8 | C0.110 | 117
15:00-17:00,Kansrekenen 2 | lecture | 84 | 84 | 9 | A1.08 | 20,Autonomous Agents 2 | lecture | 22 | 22 | 9 | A1.06 | 22,Netwerken en systeembeveiliging | lab | 16 | 16 | 9 | A1.04 | 41,Machine Learning | lecture | 22 | 22 | 9 | B0.201 | 48,Compilerbouw practicum | lab | 14 | 12 | 9 | A1.10 | 56,Zoeken sturen en bewegen | lab | 14 | 14 | 9 | C1.112 | 60,Webprogrammeren en databases | lecture | 39 | 39 | 9 | C0.110 | 117
17:00-19:00,-,-,-,-,-,-,Interactie-ontwerp | lecture | 25 | 25 | 10 | C0.110 | 117
