,<room.Room object at 0x7f6c665acaf0>,<room.Room object at 0x7f6c6652a040>,<room.Room object at 0x7f6c630dd0a0>,<room.Room object at 0x7f6c50bb2040>,<room.Room object at 0x7f6c50bb20a0>,<room.Room object at 0x7f6c50bb22e0>,<room.Room object at 0x7f6c50bb23a0>
Monday 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
Tuesday 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
Wednesday 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
Thurday 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
Friday 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
